time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-04-27 09:30:00-04:00,MLTrader,eea835abdbdf49368a2014f643730a69,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,eea835abdbdf49368a2014f643730a69,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,172.0,0.0
2020-05-13 09:30:00-04:00,MLTrader,10270129d5b9492eb7fa4664676feed9,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MLTrader,85c8a82c49b84502b79d7c4116c8a446,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,172.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,5b5d81d7a205445fb1fbb9a6a285ff62,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,5b5d81d7a205445fb1fbb9a6a285ff62,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,155.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,6a2533b14ebe4436a14ad97f199aa70b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,524310676f284a8ab61b7afb05063350,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,934cdc724b5c4765ae50d82f85c214d8,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,73740aac4da84726af135834eaf52873,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,934cdc724b5c4765ae50d82f85c214d8,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,155.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,73740aac4da84726af135834eaf52873,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,239.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,682a80b26a85490f8fb51bdc710af3b3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,682a80b26a85490f8fb51bdc710af3b3,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,39.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,94f245548154480e9731620439209798,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,085b2913705d40ec8c91ced0a657e2e2,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,1126c4957161493c9b9448c160409707,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,be2f5c3bf5f645168eaaa9b9b76ae80d,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,f11c628d8c354f18ba0a25003ee0edec,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,2e328a83c8d74992b92e122f1f1d5857,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
